Filename,Cluster
108644 - Crowdlinker.txt,84
115001 - White Label Loyalty.txt,219
110010 - MetaCompliance.txt,3
115496 - Digpro.txt,32
210811 - Katarina.txt,459
115496 - Digpro.txt,32
136553 - Blue Orange Digital.txt,410
216000 - VISUAL ENGINEERING.txt,247
151321 - Cenero.txt,424
149269 - Docufree.txt,112
136859 - Fingercheck.txt,301
161959 - Advanced Medical Reviews.txt,201
115001 - White Label Loyalty.txt,219
196458 - Lincoln Electric System.txt,68
161252 - Searchbloom.txt,151
210061 - oXya.txt,400
176067 - Strategis.txt,147
128981 - Walt Disney Animation Studios.txt,434
14516 - Amplitude Studios.txt,396
109867 - Orolia.txt,428
142883 - CaptureRx.txt,19
166560 - Avo Photonics.txt,167
117090 - Actonomy.txt,126
182885 - Red Arch Solutions.txt,389
209880 - Koninklijke De Kuyper.txt,173
171864 - Pethealth.txt,235
134478 - GCM Grosvenor.txt,116
210811 - Katarina.txt,459
162247 - Acromove.txt,206
221853 - Agile Partner.txt,-1
218715 - Scienta.txt,10
107360 - Artscape.txt,4
142748 - IntelliChief.txt,124
118116 - Strategic Imperatives.txt,152
132528 - Rugs USA.txt,244
250518 - Global Testing.txt,160
115171 - Securecell.txt,53
121895 - MedOne.txt,191
127141 - Scandio.txt,72
205166 - PayZen.txt,188
215134 - Sinara.txt,276
121177 - Wickham Laboratories.txt,159
25331 - Cognism.txt,263
104944 - Tribal Credit.txt,171
225397 - wegewerk.txt,79
"155920 - Smith, Bucklin & Associates.txt",61
136556 - Computronix.txt,472
244345 - IO Datasphere.txt,486
161999 - TicToc Games.txt,28
152433 - Boeing Intelligence & Analytics.txt,327
112914 - N&TS Group.txt,319
130456 - IdeaScale.txt,256
161959 - Advanced Medical Reviews.txt,201
168370 - AIKIT Digital.txt,340
132166 - SmartAction.txt,122
114188 - PeopleCert.txt,246
187930 - ESTI Consulting Services.txt,141
129844 - BizLibrary.txt,96
145869 - Healthcare IT Leaders.txt,251
211467 - Seeders.txt,66
208072 - GTD.txt,429
158245 - Cloud for Good.txt,299
134664 - Clarity Software Solutions.txt,480
"147766 - Brownells, Inc..txt",94
112892 - TenForce.txt,76
134994 - Stratix Corporation.txt,181
244345 - IO Datasphere.txt,486
164496 - TownSuite Municipal Software.txt,261
183522 - Translational Drug Development.txt,264
18820 - GenCell.txt,62
232290 - Quadrint.txt,469
16921 - Get.txt,285
14516 - Amplitude Studios.txt,396
163905 - VERACITY CONSULTING.txt,325
106546 - Miovision Technologies.txt,310
129065 - BARK.txt,5
127409 - Continia Software.txt,270
217267 - cdmon.txt,385
150068 - Personnel Data Services Inc.txt,294
127389 - Immeo.txt,13
108309 - mappedin.txt,322
129386 - TheVentureCity Growth Accelerator.txt,449
141266 - Free Range Games.txt,29
106641 - ATTAbotics.txt,421
136457 - Mariner.txt,25
208072 - GTD.txt,429
108117 - Clearpath Robotics.txt,88
142883 - CaptureRx.txt,19
136140 - Feenics.txt,279
152433 - Boeing Intelligence & Analytics.txt,327
118798 - Yatta.txt,456
139412 - Certified Languages International.txt,89
105137 - Icosavax.txt,260
218715 - Scienta.txt,10
136457 - Mariner.txt,25
131442 - Profisee.txt,414
116581 - GENTWO.txt,80
142705 - Ascendum Solutions.txt,333
145259 - The Sullivan Group.txt,329
153671 - Structure Studios.txt,31
129497 - Maropost.txt,39
117747 - E-Drive Technology.txt,23
239168 - LGM.txt,413
135863 - Yasso.txt,27
145462 - Connect Tech.txt,381
133142 - Viafoura.txt,50
191182 - Red Valve.txt,0
239168 - LGM.txt,413
104944 - Tribal Credit.txt,171
18246 - Upflow.txt,113
136519 - Veros.txt,140
17318 - SmartPixels.txt,360
105144 - Edgewise Therapeutics.txt,172
193817 - RL Canning.txt,361
131208 - Sora.txt,334
219156 - Skylife Engineering.txt,411
"153694 - Cornet Technology, Inc..txt",226
179891 - CentrAlert.txt,272
17318 - SmartPixels.txt,360
112892 - TenForce.txt,76
129281 - Mindvalley.txt,419
129281 - Mindvalley.txt,419
16921 - Get.txt,285
22116 - CoinShares.txt,139
135863 - Yasso.txt,27
168270 - TurningPoint.txt,239
251635 - Stanfield's.txt,14
24326 - TickX.txt,169
223442 - ethcon.txt,87
158609 - AVT Simulation.txt,474
112892 - TenForce.txt,76
153588 - Pani Energy.txt,127
113899 - Ubiwhere.txt,288
111301 - Ascendance Flight Technologies.txt,269
154873 - Wheelhouse IT.txt,384
204826 - WorldFirst.txt,271
153703 - Policy Reporter.txt,170
17318 - SmartPixels.txt,360
163905 - VERACITY CONSULTING.txt,325
204896 - SteelSeries.txt,439
115268 - Extronics.txt,78
134994 - Stratix Corporation.txt,181
190919 - Brady Services.txt,162
"150480 - Proxima Clinical Research, Inc..txt",85
120114 - CreditForce.txt,131
136556 - Computronix.txt,472
150450 - iGPS.txt,460
12345 - contextflow.txt,83
150027 - Squeeze Massage.txt,190
134950 - Wheaton Van Lines.txt,404
"157957 - Cambridge Investment Research, Inc..txt",437
168370 - AIKIT Digital.txt,340
107360 - Artscape.txt,4
206026 - GymBeam.txt,70
134621 - Azion.txt,205
112542 - ITinSell.txt,457
25338 - Hummingbird Technologies.txt,316
129065 - BARK.txt,5
224168 - ALIUSENERGY.txt,224
107107 - Hardbacon.txt,16
210709 - NDA Regulatory Service GmbH.txt,108
115496 - Digpro.txt,32
136519 - Veros.txt,140
242969 - Rheaume Engineering.txt,200
153110 - The Key.txt,406
136457 - Mariner.txt,25
132526 - ETF.com.txt,398
103698 - KAL.txt,368
25338 - Hummingbird Technologies.txt,316
114554 - Talis.txt,473
145285 - Airstream.txt,356
136966 - SeaSpine.txt,326
110571 - AutoRek.txt,189
217267 - cdmon.txt,385
"150480 - Proxima Clinical Research, Inc..txt",85
210974 - AMIS.txt,225
120616 - Login Consultants.txt,211
139424 - ChaiOne.txt,324
112826 - Avantgarde.txt,388
176475 - The Kenjya-Trusant Group.txt,372
22826 - Acurable.txt,475
110773 - ULTRA.txt,461
208736 - twentysix.txt,336
136553 - Blue Orange Digital.txt,410
196458 - Lincoln Electric System.txt,68
20354 - Vicarius.txt,-1
103698 - KAL.txt,368
191389 - Heitmeyer Consulting.txt,92
238143 - Toogood Financial Systems.txt,186
201800 - Computer System Innovations.txt,230
113194 - SONAH GmbH.txt,45
123740 - eDoc solutions AG.txt,77
21266 - Clym.txt,155
120067 - Deutsche Gesellschaft fБr Cybersicherheit.txt,74
113678 - BUFF.txt,297
132526 - ETF.com.txt,398
134865 - DocuPhase.txt,125
113678 - BUFF.txt,297
155470 - Travelnet Solutions.txt,286
129844 - BizLibrary.txt,96
103520 - Essensium.txt,268
107469 - Giftagram.txt,137
238143 - Toogood Financial Systems.txt,186
135865 - Create Music Group.txt,275
170846 - TESCRA.txt,351
217267 - cdmon.txt,385
157599 - VolunteerHub.txt,97
145784 - Dorado Software.txt,203
136966 - SeaSpine.txt,326
138396 - Canfield Scientific.txt,198
"180949 - Virtual Tech Gurus, Inc..txt",164
131158 - Fulfil.IO.txt,183
196193 - Rfid Canada.txt,430
158939 - IKUSI.txt,412
118034 - Artelys.txt,323
252187 - Source 360.txt,341
186504 - Local Wisdom.txt,248
190156 - SynGlyphX.txt,394
236393 - ATNI.txt,187
163534 - Vertic.txt,344
225397 - wegewerk.txt,79
209075 - Sam McCauley Chemists.txt,216
135853 - Biscom.txt,302
106227 - Union Realtime LLC.txt,282
170846 - TESCRA.txt,351
244345 - IO Datasphere.txt,486
185681 - Power System Engineering.txt,67
132970 - DeepIntent.txt,237
213337 - Oderland Webbhotell.txt,36
112826 - Avantgarde.txt,388
15931 - Lydia.txt,468
143991 - Credigy Solutions.txt,232
222231 - MondayCoffee.txt,64
152433 - Boeing Intelligence & Analytics.txt,327
242834 - Power Plant Services.txt,123
106987 - CheckSammy.txt,163
139412 - Certified Languages International.txt,89
161999 - TicToc Games.txt,28
143774 - Quartet FS.txt,1
204826 - WorldFirst.txt,271
15074 - New Generation SR.txt,448
138743 - PGIM Fixed Income.txt,233
208502 - Kefron.txt,121
190919 - Brady Services.txt,162
117073 - Clinical Microbiomics.txt,265
150011 - OneMarketData.txt,345
121177 - Wickham Laboratories.txt,159
138781 - OvalEdge.txt,415
112047 - Lemon Learning.txt,370
109988 - Parkopedia.txt,362
120114 - CreditForce.txt,131
113899 - Ubiwhere.txt,288
104448 - Strider.txt,221
208072 - GTD.txt,429
152158 - Medicia Corporation.txt,262
11009 - Ogulo.txt,73
188650 - Austin Visuals 3D Animation Studio.txt,6
136556 - Computronix.txt,472
126234 - Bristan.txt,352
133757 - Tavour.txt,305
105144 - Edgewise Therapeutics.txt,172
115862 - Amido AB.txt,46
150027 - Squeeze Massage.txt,190
152158 - Medicia Corporation.txt,262
141202 - Grio.txt,142
14516 - Amplitude Studios.txt,396
196458 - Lincoln Electric System.txt,68
161371 - Lightology.txt,100
177083 - Sunrider.txt,106
11655 - Next Kraftwerke GmbH.txt,40
204826 - WorldFirst.txt,271
125639 - XeniT.txt,43
200299 - Threat Tec.txt,401
113685 - AP Sensing.txt,35
149757 - The Spice House.txt,104
139286 - Montrium.txt,258
162247 - Acromove.txt,206
126134 - Neofonie Mobile GmbH.txt,24
115862 - Amido AB.txt,46
200933 - Bursting Silver.txt,321
199396 - Seneca Holdings.txt,267
119307 - DSIT.txt,52
16130 - Shotgun.txt,95
229768 - Saskatchewan Research Council.txt,128
171864 - Pethealth.txt,235
"150480 - Proxima Clinical Research, Inc..txt",85
121895 - MedOne.txt,191
105144 - Edgewise Therapeutics.txt,172
211703 - Portima.txt,343
111340 - Centra.txt,442
130525 - MGM Studios.txt,482
210297 - Trymax.txt,93
14162 - Allo-Media.txt,446
134451 - NaviStone.txt,309
162247 - Acromove.txt,206
142705 - Ascendum Solutions.txt,333
167683 - Hook Agency.txt,154
165199 - Jolera.txt,391
164229 - Canada Health Infoway.txt,363
"161519 - Midrex Technologies, Inc..txt",129
117245 - Sacoor Brothers.txt,-1
21903 - FarmaTrust.txt,339
206026 - GymBeam.txt,70
104944 - Tribal Credit.txt,171
126234 - Bristan.txt,352
158939 - IKUSI.txt,412
12131 - Polyteia.txt,49
24585 - Apolitical.txt,478
150027 - Squeeze Massage.txt,190
121895 - MedOne.txt,191
224273 - Tachodata.txt,18
113608 - The Spectator.txt,425
"150480 - Proxima Clinical Research, Inc..txt",85
211538 - Postnova Analytics.txt,417
208736 - twentysix.txt,336
132666 - HoMedics.txt,223
"150480 - Proxima Clinical Research, Inc..txt",85
105432 - Xometry.txt,481
158939 - IKUSI.txt,412
12345 - contextflow.txt,83
167982 - Magna-Power Electronics.txt,348
132528 - Rugs USA.txt,244
109988 - Parkopedia.txt,362
158609 - AVT Simulation.txt,474
155945 - Carlton Group Limited.txt,353
132666 - HoMedics.txt,223
130826 - AES Corporation.txt,54
139124 - Kodiak.txt,427
118798 - Yatta.txt,456
192665 - Solera National Bank.txt,266
225397 - wegewerk.txt,79
216000 - VISUAL ENGINEERING.txt,247
131158 - Fulfil.IO.txt,183
"147766 - Brownells, Inc..txt",94
141371 - Wanderly.txt,210
"155920 - Smith, Bucklin & Associates.txt",61
118116 - Strategic Imperatives.txt,152
196193 - Rfid Canada.txt,430
142705 - Ascendum Solutions.txt,333
141427 - Healthesystems.txt,483
139775 - Veradigm.txt,240
149757 - The Spice House.txt,104
212258 - Aviointeriors.txt,314
236393 - ATNI.txt,187
131061 - Format.txt,281
209880 - Koninklijke De Kuyper.txt,173
249128 - Think Shift.txt,346
21252 - PQShield.txt,435
110571 - AutoRek.txt,189
219537 - Alerant.txt,107
113608 - The Spectator.txt,425
115171 - Securecell.txt,53
160722 - MaxLite.txt,250
156878 - Prospect 33.txt,176
164229 - Canada Health Infoway.txt,363
162506 - Planit.txt,347
129844 - BizLibrary.txt,96
153223 - Synergy Resources.txt,379
242834 - Power Plant Services.txt,123
197854 - VIPSoftware.txt,242
129686 - San Diego Padres.txt,257
114188 - PeopleCert.txt,246
190156 - SynGlyphX.txt,394
142883 - CaptureRx.txt,19
236393 - ATNI.txt,187
206217 - PXP Financial.txt,114
143741 - geoLOGIC.txt,315
166974 - The Mice Groups.txt,371
135332 - Applied Minds.txt,423
18397 - himydata.txt,466
224273 - Tachodata.txt,18
"150480 - Proxima Clinical Research, Inc..txt",85
143774 - Quartet FS.txt,1
117595 - Dive.txt,204
161252 - Searchbloom.txt,151
19656 - Sensority.txt,58
224273 - Tachodata.txt,18
119784 - Calcasa.txt,218
163994 - Corrisoft.txt,145
23518 - Calipsa.txt,105
156888 - Applied Visions.txt,296
136703 - Avid Biosciences.txt,254
112892 - TenForce.txt,76
18397 - himydata.txt,466
116977 - Sorgente Natura.txt,308
115048 - iDalko.txt,443
135369 - EVOTEK.txt,238
216651 - Winbiz.txt,444
158245 - Cloud for Good.txt,299
126134 - Neofonie Mobile GmbH.txt,24
112914 - N&TS Group.txt,319
224273 - Tachodata.txt,18
131442 - Profisee.txt,414
110862 - zkipster.txt,229
"180949 - Virtual Tech Gurus, Inc..txt",164
213852 - DCM.txt,118
168270 - TurningPoint.txt,239
200299 - Threat Tec.txt,401
165737 - GeoStabilization International.txt,99
150450 - iGPS.txt,460
137763 - mroads.txt,485
211703 - Portima.txt,343
132970 - DeepIntent.txt,237
215585 - Gubra.txt,228
112542 - ITinSell.txt,457
212258 - Aviointeriors.txt,314
188650 - Austin Visuals 3D Animation Studio.txt,6
105432 - Xometry.txt,481
137763 - mroads.txt,485
190156 - SynGlyphX.txt,394
152433 - Boeing Intelligence & Analytics.txt,327
131051 - Bond Brand Loyalty.txt,320
109855 - Microlise.txt,132
240425 - American Welding Society.txt,236
23518 - Calipsa.txt,105
135865 - Create Music Group.txt,275
"161519 - Midrex Technologies, Inc..txt",129
210297 - Trymax.txt,93
134631 - Folio3 Software.txt,273
222231 - MondayCoffee.txt,64
119885 - Tedial.txt,42
111301 - Ascendance Flight Technologies.txt,269
108309 - mappedin.txt,322
"150480 - Proxima Clinical Research, Inc..txt",85
230064 - MadDog Technology.txt,332
134623 - 100 Percent Pure.txt,215
132666 - HoMedics.txt,223
164256 - Mecademic.txt,386
131757 - Apifiny.txt,115
200933 - Bursting Silver.txt,321
109988 - Parkopedia.txt,362
156247 - Fortress Building Products.txt,241
170846 - TESCRA.txt,351
163994 - Corrisoft.txt,145
191182 - Red Valve.txt,0
134451 - NaviStone.txt,309
132526 - ETF.com.txt,398
153671 - Structure Studios.txt,31
"155920 - Smith, Bucklin & Associates.txt",61
"141085 - Aqueduct Technologies, Inc..txt",431
143991 - Credigy Solutions.txt,232
126134 - Neofonie Mobile GmbH.txt,24
213337 - Oderland Webbhotell.txt,36
16921 - Get.txt,285
134664 - Clarity Software Solutions.txt,480
155945 - Carlton Group Limited.txt,353
109376 - congatec.txt,109
113595 - Tripleplay.txt,447
112914 - N&TS Group.txt,319
242834 - Power Plant Services.txt,123
24585 - Apolitical.txt,478
192187 - Canadian Credit Union Association.txt,102
20178 - Air Doctor.txt,146
149757 - The Spice House.txt,104
194264 - GPL Technologies.txt,445
126275 - Xantaro.txt,55
120067 - Deutsche Gesellschaft fБr Cybersicherheit.txt,74
117090 - Actonomy.txt,126
236393 - ATNI.txt,187
151052 - Deccan International.txt,166
113194 - SONAH GmbH.txt,45
183170 - Omnimed.Com.txt,450
117090 - Actonomy.txt,126
115048 - iDalko.txt,443
135369 - EVOTEK.txt,238
126134 - Neofonie Mobile GmbH.txt,24
162506 - Planit.txt,347
139775 - Veradigm.txt,240
211709 - Navi Partner Kobenhavn.txt,144
172832 - LTVPlus.txt,300
224168 - ALIUSENERGY.txt,224
145558 - Janeiro Digital.txt,33
173671 - Pierce Washington Consulting.txt,293
182885 - Red Arch Solutions.txt,389
130525 - MGM Studios.txt,482
150011 - OneMarketData.txt,345
105432 - Xometry.txt,481
111340 - Centra.txt,442
135863 - Yasso.txt,27
138743 - PGIM Fixed Income.txt,233
208502 - Kefron.txt,121
215134 - Sinara.txt,276
113116 - Otodo.txt,416
190293 - IT Pros.txt,403
151052 - Deccan International.txt,166
132305 - Boomerang.txt,81
193817 - RL Canning.txt,361
149376 - Chromatic.txt,175
142138 - IDMWorks.txt,179
194759 - Zel Technologies.txt,479
221853 - Agile Partner.txt,-1
191327 - Glu Company.txt,399
119214 - EBP.txt,463
207104 - UnternehmerTUM.txt,82
25333 - Everflow.txt,471
104448 - Strider.txt,221
244345 - IO Datasphere.txt,486
224168 - ALIUSENERGY.txt,224
113899 - Ubiwhere.txt,288
21903 - FarmaTrust.txt,339
15518 - LALALAB (ex Polagram).txt,291
153671 - Structure Studios.txt,31
164078 - MegaCorp Logistics.txt,-1
150427 - Avanti Markets.txt,195
105432 - Xometry.txt,481
142138 - IDMWorks.txt,179
128981 - Walt Disney Animation Studios.txt,434
105137 - Icosavax.txt,260
114924 - Visit Group.txt,37
163534 - Vertic.txt,344
135454 - RocketFuel.txt,90
168370 - AIKIT Digital.txt,340
134631 - Folio3 Software.txt,273
145558 - Janeiro Digital.txt,33
109855 - Microlise.txt,132
167982 - Magna-Power Electronics.txt,348
141143 - Goliath Technologies.txt,292
142138 - IDMWorks.txt,179
150068 - Personnel Data Services Inc.txt,294
115496 - Digpro.txt,32
22341 - MyPocketSkill.txt,207
192187 - Canadian Credit Union Association.txt,102
134623 - 100 Percent Pure.txt,215
168149 - Bioinformatics Solutions Inc.txt,110
114554 - Talis.txt,473
22826 - Acurable.txt,475
"135240 - Darklight, Inc..txt",220
155945 - Carlton Group Limited.txt,353
152433 - Boeing Intelligence & Analytics.txt,327
137843 - Gimmal.txt,451
143741 - geoLOGIC.txt,315
145583 - TechBlocks.txt,161
21266 - Clym.txt,155
131051 - Bond Brand Loyalty.txt,320
153223 - Synergy Resources.txt,379
207039 - ProspectSoft.txt,182
162506 - Planit.txt,347
110876 - Ascom Holding.txt,8
132584 - StudentUniverse.txt,209
132054 - DocMagic.txt,311
177083 - Sunrider.txt,106
20456 - Wizer.Me.txt,409
182201 - Noise Digital.txt,337
215134 - Sinara.txt,276
108117 - Clearpath Robotics.txt,88
142883 - CaptureRx.txt,19
191182 - Red Valve.txt,0
156888 - Applied Visions.txt,296
132557 - Candela Medical.txt,376
242969 - Rheaume Engineering.txt,200
154651 - Examine.txt,11
21252 - PQShield.txt,435
206026 - GymBeam.txt,70
223442 - ethcon.txt,87
21252 - PQShield.txt,435
149094 - Powerex.txt,178
110773 - ULTRA.txt,461
121794 - Campion Insurance.txt,15
232290 - Quadrint.txt,469
160722 - MaxLite.txt,250
23086 - inCust.txt,357
131442 - Profisee.txt,414
215854 - Sereneo.txt,454
135041 - Technology Evaluation Centers.txt,476
129882 - Alexa.com.txt,484
109855 - Microlise.txt,132
134259 - Pushnami.txt,328
134478 - GCM Grosvenor.txt,116
129844 - BizLibrary.txt,96
109988 - Parkopedia.txt,362
116061 - Ackcent.txt,390
245780 - Argonics.txt,249
179891 - CentrAlert.txt,272
208502 - Kefron.txt,121
132305 - Boomerang.txt,81
244345 - IO Datasphere.txt,486
121177 - Wickham Laboratories.txt,159
111591 - EveryMatrix.txt,71
109376 - congatec.txt,109
136016 - Centric Consulting.txt,91
"141085 - Aqueduct Technologies, Inc..txt",431
126134 - Neofonie Mobile GmbH.txt,24
120114 - CreditForce.txt,131
210974 - AMIS.txt,225
244404 - ISAM.txt,156
178328 - CultureFit.txt,331
166560 - Avo Photonics.txt,167
164739 - MASV.io.txt,374
238143 - Toogood Financial Systems.txt,186
192187 - Canadian Credit Union Association.txt,102
21252 - PQShield.txt,435
128981 - Walt Disney Animation Studios.txt,434
134451 - NaviStone.txt,309
199396 - Seneca Holdings.txt,267
135332 - Applied Minds.txt,423
132557 - Candela Medical.txt,376
116581 - GENTWO.txt,80
142705 - Ascendum Solutions.txt,333
135865 - Create Music Group.txt,275
119484 - Imprint Social.txt,409
141669 - Welbe.txt,196
137843 - Gimmal.txt,451
198141 - North Star Systems.txt,22
215134 - Sinara.txt,276
11651 - The Mobility House.txt,69
218252 - Nazaries IT.txt,387
11655 - Next Kraftwerke GmbH.txt,40
215585 - Gubra.txt,228
150027 - Squeeze Massage.txt,190
12131 - Polyteia.txt,49
206217 - PXP Financial.txt,114
151321 - Cenero.txt,424
176067 - Strategis.txt,147
114554 - Talis.txt,473
170731 - Twin Rivers Technologies.txt,243
136553 - Blue Orange Digital.txt,410
129065 - BARK.txt,5
202846 - Xeratec.txt,307
218129 - bmpi.txt,51
135454 - RocketFuel.txt,90
"153694 - Cornet Technology, Inc..txt",226
135863 - Yasso.txt,27
139775 - Veradigm.txt,240
160386 - Infiltrator Water Technologies.txt,231
126134 - Neofonie Mobile GmbH.txt,24
129016 - AccuWeather.txt,380
132714 - Lender Price.txt,306
209880 - Koninklijke De Kuyper.txt,173
120616 - Login Consultants.txt,211
129686 - San Diego Padres.txt,257
11009 - Ogulo.txt,73
107360 - Artscape.txt,4
135094 - OHO Interactive.txt,143
104448 - Strider.txt,221
150427 - Avanti Markets.txt,195
136859 - Fingercheck.txt,301
17221 - Brigad.txt,462
211703 - Portima.txt,343
110571 - AutoRek.txt,189
172832 - LTVPlus.txt,300
201800 - Computer System Innovations.txt,230
150011 - OneMarketData.txt,345
191327 - Glu Company.txt,399
177083 - Sunrider.txt,106
190293 - IT Pros.txt,403
163534 - Vertic.txt,344
139790 - BCM One.txt,383
215134 - Sinara.txt,276
139724 - The Maze Group.txt,342
127141 - Scandio.txt,72
113116 - Otodo.txt,416
144553 - Clozd.txt,7
215854 - Sereneo.txt,454
164256 - Mecademic.txt,386
135477 - Pure App.txt,304
108724 - Relay.txt,477
106227 - Union Realtime LLC.txt,282
205166 - PayZen.txt,188
104944 - Tribal Credit.txt,171
145259 - The Sullivan Group.txt,329
166560 - Avo Photonics.txt,167
113685 - AP Sensing.txt,35
150027 - Squeeze Massage.txt,190
210664 - OSSA.txt,184
119846 - Sauermann Industrie S.A.txt,441
110010 - MetaCompliance.txt,3
24686 - OutThink.txt,436
155678 - DeLorean.txt,47
135094 - OHO Interactive.txt,143
123740 - eDoc solutions AG.txt,77
139775 - Veradigm.txt,240
"147766 - Brownells, Inc..txt",94
216000 - VISUAL ENGINEERING.txt,247
129497 - Maropost.txt,39
14516 - Amplitude Studios.txt,396
126234 - Bristan.txt,352
16130 - Shotgun.txt,95
156878 - Prospect 33.txt,176
106546 - Miovision Technologies.txt,310
134259 - Pushnami.txt,328
21872 - Argent.txt,298
230064 - MadDog Technology.txt,332
134259 - Pushnami.txt,328
105144 - Edgewise Therapeutics.txt,172
240425 - American Welding Society.txt,236
137588 - Gradelink.txt,277
140732 - MBX Systems.txt,382
137395 - ClimateAI.txt,355
210297 - Trymax.txt,93
18397 - himydata.txt,466
135477 - Pure App.txt,304
152433 - Boeing Intelligence & Analytics.txt,327
171864 - Pethealth.txt,235
145784 - Dorado Software.txt,203
112826 - Avantgarde.txt,388
200299 - Threat Tec.txt,401
156247 - Fortress Building Products.txt,241
138396 - Canfield Scientific.txt,198
136016 - Centric Consulting.txt,91
130525 - MGM Studios.txt,482
132526 - ETF.com.txt,398
137763 - mroads.txt,485
141266 - Free Range Games.txt,29
12516 - Iviso.txt,41
151502 - Eventide.txt,278
24326 - TickX.txt,169
11009 - Ogulo.txt,73
"141085 - Aqueduct Technologies, Inc..txt",431
129386 - TheVentureCity Growth Accelerator.txt,449
152433 - Boeing Intelligence & Analytics.txt,327
211709 - Navi Partner Kobenhavn.txt,144
143774 - Quartet FS.txt,1
102173 - MyBuilder.txt,202
135863 - Yasso.txt,27
135041 - Technology Evaluation Centers.txt,476
200933 - Bursting Silver.txt,321
211703 - Portima.txt,343
23600 - Good Sixty.txt,217
129239 - Glo.txt,418
249128 - Think Shift.txt,346
176475 - The Kenjya-Trusant Group.txt,372
168270 - TurningPoint.txt,239
112542 - ITinSell.txt,457
102588 - Urbasolar.txt,433
131208 - Sora.txt,334
19609 - Opinion Stage.txt,9
115001 - White Label Loyalty.txt,219
131731 - American Association for Cancer Research.txt,432
142138 - IDMWorks.txt,179
136016 - Centric Consulting.txt,91
112542 - ITinSell.txt,457
126134 - Neofonie Mobile GmbH.txt,24
"141085 - Aqueduct Technologies, Inc..txt",431
135332 - Applied Minds.txt,423
216651 - Winbiz.txt,444
166974 - The Mice Groups.txt,371
137763 - mroads.txt,485
17464 - Moffi.txt,444
131208 - Sora.txt,334
139582 - Stream Companies.txt,149
116409 - Jarvis Legal.txt,453
136556 - Computronix.txt,472
183522 - Translational Drug Development.txt,264
123745 - A-Tono.txt,318
150011 - OneMarketData.txt,345
114924 - Visit Group.txt,37
136016 - Centric Consulting.txt,91
179891 - CentrAlert.txt,272
109867 - Orolia.txt,428
119484 - Imprint Social.txt,409
141202 - Grio.txt,142
136859 - Fingercheck.txt,301
193995 - Romet.txt,165
113116 - Otodo.txt,416
104448 - Strider.txt,221
112047 - Lemon Learning.txt,370
129065 - BARK.txt,5
160386 - Infiltrator Water Technologies.txt,231
16130 - Shotgun.txt,95
138743 - PGIM Fixed Income.txt,233
109867 - Orolia.txt,428
161371 - Lightology.txt,100
215374 - Softwarehut.txt,455
191182 - Red Valve.txt,0
200299 - Threat Tec.txt,401
17221 - Brigad.txt,462
21872 - Argent.txt,298
111340 - Centra.txt,442
111161 - Zankyou.txt,407
171145 - eVerge Group.txt,234
160338 - Kerr Consulting.txt,378
139725 - Innovecs.txt,470
133142 - Viafoura.txt,50
117073 - Clinical Microbiomics.txt,265
176067 - Strategis.txt,147
204840 - Harvey Norman.txt,364
151052 - Deccan International.txt,166
155945 - Carlton Group Limited.txt,353
113203 - WIRIS.txt,395
160386 - Infiltrator Water Technologies.txt,231
119307 - DSIT.txt,52
131061 - Format.txt,281
130456 - IdeaScale.txt,256
141143 - Goliath Technologies.txt,292
130726 - PersonalizationMall.com.txt,177
106987 - CheckSammy.txt,163
135863 - Yasso.txt,27
211709 - Navi Partner Kobenhavn.txt,144
131158 - Fulfil.IO.txt,183
105328 - Schrodinger.txt,440
131051 - Bond Brand Loyalty.txt,320
121895 - MedOne.txt,191
113203 - WIRIS.txt,395
132528 - Rugs USA.txt,244
22116 - CoinShares.txt,139
211703 - Portima.txt,343
195087 - Rove.txt,338
166737 - Teguar Computers.txt,120
129497 - Maropost.txt,39
170846 - TESCRA.txt,351
121177 - Wickham Laboratories.txt,159
204840 - Harvey Norman.txt,364
176067 - Strategis.txt,147
138185 - Azazie.txt,222
204840 - Harvey Norman.txt,364
"135240 - Darklight, Inc..txt",220
130456 - IdeaScale.txt,256
207104 - UnternehmerTUM.txt,82
153703 - Policy Reporter.txt,170
109988 - Parkopedia.txt,362
200933 - Bursting Silver.txt,321
114188 - PeopleCert.txt,246
107469 - Giftagram.txt,137
230064 - MadDog Technology.txt,332
132666 - HoMedics.txt,223
21872 - Argent.txt,298
198141 - North Star Systems.txt,22
143991 - Credigy Solutions.txt,232
132526 - ETF.com.txt,398
116061 - Ackcent.txt,390
134623 - 100 Percent Pure.txt,215
127141 - Scandio.txt,72
206217 - PXP Financial.txt,114
118798 - Yatta.txt,456
112415 - JobLogic.txt,458
115268 - Extronics.txt,78
102173 - MyBuilder.txt,202
15074 - New Generation SR.txt,448
16130 - Shotgun.txt,95
156247 - Fortress Building Products.txt,241
131158 - Fulfil.IO.txt,183
"147766 - Brownells, Inc..txt",94
168370 - AIKIT Digital.txt,340
110876 - Ascom Holding.txt,8
135041 - Technology Evaluation Centers.txt,476
136859 - Fingercheck.txt,301
197646 - Steel Reef Infrastructure.txt,130
218129 - bmpi.txt,51
162506 - Planit.txt,347
150499 - Addgene.txt,2
105144 - Edgewise Therapeutics.txt,172
211709 - Navi Partner Kobenhavn.txt,144
118798 - Yatta.txt,456
137905 - Outlook Amusements.txt,150
207039 - ProspectSoft.txt,182
18246 - Upflow.txt,113
160386 - Infiltrator Water Technologies.txt,231
114996 - Preventx.txt,157
